Data;Wojewodztwo;Liczba ozdrowieńców
04.03.2020;Śląskie;0
05.03.2020;Kujawsko-Pomorskie;0
05.03.2020;Lubelskie;0
05.03.2020;Lubuskie;0
05.03.2020;Łódzkie;0
05.03.2020;Małopolskie;0
05.03.2020;Mazowieckie;0
05.03.2020;Opolskie;0
05.03.2020;Podlaskie;0
05.03.2020;Pomorskie;1
05.03.2020;Śląskie;0
05.03.2020;Świętokrzyskie;0
05.03.2020;Warmińsko-Mazurskie;0
05.03.2020;Wielkopolskie;0
05.03.2020;Zachodniopomorskie;0
06.03.2020;Dolnośląskie;0
06.03.2020;Kujawsko-Pomorskie;0
06.03.2020;Lubelskie;0
06.03.2020;Lubuskie;6
06.03.2020;Łódzkie;0
06.03.2020;Małopolskie;0
06.03.2020;Mazowieckie;0
06.03.2020;Opolskie;0
06.03.2020;Podkarpackie;0
06.03.2020;Podlaskie;0
06.03.2020;Pomorskie;0
06.03.2020;Śląskie;0
06.03.2020;Świętokrzyskie;0
06.03.2020;Warmińsko-Mazurskie;0
06.03.2020;Wielkopolskie;0
06.03.2020;Zachodniopomorskie;0
07.03.2020;Dolnośląskie;0
07.03.2020;Kujawsko-Pomorskie;0
07.03.2020;Lubelskie;0
07.03.2020;Lubuskie;0
07.03.2020;Łódzkie;0
07.03.2020;Małopolskie;0
07.03.2020;Opolskie;0
07.03.2020;Podkarpackie;0
07.03.2020;Podlaskie;0
07.03.2020;Pomorskie;0
07.03.2020;Śląskie;0
07.03.2020;Świętokrzyskie;0
07.03.2020;Warmińsko-Mazurskie;0
07.03.2020;Wielkopolskie;0
07.03.2020;Zachodniopomorskie;0
08.03.2020;Dolnośląskie;0
08.03.2020;Kujawsko-Pomorskie;0
08.03.2020;Lubelskie;0
08.03.2020;Lubuskie;1
08.03.2020;Łódzkie;0
08.03.2020;Małopolskie;0
08.03.2020;Mazowieckie;0
08.03.2020;Opolskie;0
08.03.2020;Podkarpackie;0
08.03.2020;Podlaskie;0
08.03.2020;Pomorskie;0
08.03.2020;Śląskie;0
08.03.2020;Świętokrzyskie;0
08.03.2020;Warmińsko-Mazurskie;0
08.03.2020;Wielkopolskie;0
08.03.2020;Zachodniopomorskie;0
09.03.2020;Dolnośląskie;0
09.03.2020;Kujawsko-Pomorskie;0
09.03.2020;Lubelskie;0
09.03.2020;Lubuskie;0
09.03.2020;Łódzkie;0
09.03.2020;Małopolskie;0
09.03.2020;Mazowieckie;0
09.03.2020;Opolskie;0
09.03.2020;Podkarpackie;0
09.03.2020;Podlaskie;0
09.03.2020;Pomorskie;0
09.03.2020;Śląskie;0
09.03.2020;Świętokrzyskie;0
09.03.2020;Warmińsko-Mazurskie;0
09.03.2020;Wielkopolskie;0
09.03.2020;Zachodniopomorskie;0
10.03.2020;Dolnośląskie;0
10.03.2020;Kujawsko-Pomorskie;0
10.03.2020;Lubelskie;0
10.03.2020;Lubuskie;1
10.03.2020;Łódzkie;0
10.03.2020;Małopolskie;0
10.03.2020;Mazowieckie;0
10.03.2020;Opolskie;0
10.03.2020;Podkarpackie;0
10.03.2020;Podlaskie;0
10.03.2020;Pomorskie;0
10.03.2020;Śląskie;0
10.03.2020;Świętokrzyskie;0
10.03.2020;Warmińsko-Mazurskie;0
10.03.2020;Wielkopolskie;0
10.03.2020;Zachodniopomorskie;0
11.03.2020;Dolnośląskie;0
11.03.2020;Kujawsko-Pomorskie;0
11.03.2020;Lubelskie;0
11.03.2020;Lubuskie;1
11.03.2020;Łódzkie;0
11.03.2020;Małopolskie;0
11.03.2020;Mazowieckie;0
11.03.2020;Opolskie;0
11.03.2020;Podkarpackie;0
11.03.2020;Podlaskie;0
11.03.2020;Pomorskie;0
11.03.2020;Śląskie;0
11.03.2020;Świętokrzyskie;0
11.03.2020;Warmińsko-Mazurskie;0
11.03.2020;Wielkopolskie;0
11.03.2020;Zachodniopomorskie;0
12.03.2020;Dolnośląskie;0
12.03.2020;Kujawsko-Pomorskie;0
12.03.2020;Lubelskie;0
12.03.2020;Lubuskie;1
12.03.2020;Łódzkie;0
12.03.2020;Małopolskie;0
12.03.2020;Mazowieckie;0
12.03.2020;Opolskie;0
12.03.2020;Podkarpackie;0
12.03.2020;Podlaskie;0
12.03.2020;Pomorskie;0
12.03.2020;Śląskie;0
12.03.2020;Świętokrzyskie;0
